time,type
764,N
2236,N
3716,N
5200,N
6668,N
8135,N
9576,N
11056,N
12516,N
13992,N
15460,N
16880,N
18252,N
19612,N
20948,N
22296,N
23628,N
24960,N
26284,N
27644,N
29036,N
30508,N
31952,N
33428,N
34940,N
36444,N
37972,N
39568,N
41140,N
42736,N
44284,N
45716,N
47176,N
48644,N
50104,N
51480,N
52848,N
54272,N
55644,N
56988,N
58368,N
59740,N
61092,N
62480,N
63848,N
65212,N
66584,N
67944,N
69340,N
70772,N
72144,N
73496,N
74880,N
76216,N
77564,N
78876,N
80160,N
81472,N
82788,N
84092,N
85452,N
86784,N
88108,N
89328,N
90564,N
91836,N
93152,N
94324,N
95584,N
96920,N
98300,N
99712,N
101156,N
102648,N
104024,N
105448,N
106820,N
108220,N
109616,N
111044,N
112508,N
113964,N
115448,N
116920,N
118412,N
119896,N
121412,N
122884,N
124408,N
125912,N
127360,N
128840,N
130348,N
131832,N
133328,N
134780,N
136248,N
137692,N
139180,N
140684,N
142180,N
143704,N
145276,N
146816,N
148344,N
149832,N
151324,N
152756,N
154252,N
155692,N
157144,N
158616,N
160140,N
161624,N
163088,N
164524,N
165952,N
167472,N
168924,N
170400,N
171828,N
173260,N
174692,N
176100,N
177524,N
178916,N
180284,N
181680,N
183068,N
184472,N
185876,N
187208,N
188524,N
189824,N
191144,N
192484,N
193868,N
195264,N
196696,N
198184,N
199708,N
201152,N
202568,N
204068,N
205564,N
207004,N
208416,N
209832,N
211316,N
212780,N
214240,N
215668,N
217148,N
218572,N
219944,N
221320,N
222644,N
223988,N
225288,N
226512,N
227708,N
228924,N
230140,N
231360,N
232608,N
233896,N
235188,N
236528,N
237852,N
239236,N
240620,N
242012,N
243424,N
244856,N
246296,N
247736,N
249188,N
250672,N
252068,N
253496,N
254940,N
256363,N
257824,N
259212,N
260628,N
261995,N
263356,N
264728,N
266076,N
267432,N
268708,N
269864,N
271052,N
272272,N
273548,N
274820,N
276120,N
277428,N
278788,N
280196,N
281588,N
283044,N
284408,N
285824,N
287216,N
288648,N
290024,N
291444,N
292816,N
294248,N
295648,N
297144,N
298580,N
300044,N
301460,N
302868,N
304252,N
305636,N
307068,N
308388,N
309776,N
311200,N
312560,N
313916,N
315304,N
316660,N
318016,N
318824,S
320188,N
321592,N
323036,N
324460,N
325888,N
327304,N
328700,N
330084,N
331436,N
332776,N
334124,N
335560,N
337000,N
338464,N
339960,N
341456,N
342900,N
344388,N
345872,N
347436,N
348828,N
350324,N
351864,N
353360,N
354880,N
356344,N
357800,N
359252,N
360668,N
362112,N
363008,S
364472,N
366024,N
367468,N
368824,N
370188,N
371544,N
372836,N
374152,N
375488,N
376800,N
378104,N
379400,N
380772,N
382112,N
383492,N
384856,N
386260,N
387644,N
389124,N
390572,N
392036,N
393512,N
394940,N
396444,N
397972,N
399452,N
400988,N
402492,N
404068,N
405604,N
407128,N
408632,N
410000,N
411276,N
412652,N
414096,N
415540,N
417024,N
418464,N
419984,N
421480,N
422920,N
424332,N
425732,N
427216,N
428680,N
430128,N
431552,N
432912,N
434248,N
435572,N
436860,N
438140,N
439488,N
440832,N
442240,N
443648,N
444976,N
446316,N
447628,N
448972,N
450348,N
451236,S
452632,N
454028,N
455428,N
456792,N
458164,N
459524,N
460896,N
462312,N
463664,N
465104,N
466500,N
467908,N
469352,N
470836,N
472376,N
473908,N
