time,type
248,N
1532,N
2732,N
3884,N
5116,N
6160,N
7476,N
8664,N
9780,N
11180,N
12300,N
13428,N
14784,N
15884,N
17148,N
18452,N
19752,N
20948,N
22268,N
23644,N
24940,N
26292,N
27604,N
28840,N
29996,N
31088,N
32692,N
34060,N
35340,N
36760,N
37980,N
39052,N
40280,N
41420,N
42552,N
43696,N
45212,N
46640,N
47972,N
49288,N
50632,N
52008,N
53524,N
54852,N
56132,N
57424,N
58876,N
60328,N
61748,N
63148,N
64580,N
66116,N
67612,N
68976,N
70240,N
71692,N
73136,N
74512,N
75704,N
77088,N
78596,N
79704,N
80852,N
82044,N
83128,N
84552,N
85876,N
87268,N
88704,N
90052,N
91440,N
92888,N
94204,N
95668,N
97172,N
98564,N
99868,N
101248,N
102608,N
103988,N
105244,N
106656,N
108152,N
109532,N
110824,N
112288,N
113728,N
114984,N
116336,N
117776,N
119168,N
120480,N
121872,N
123156,N
124456,N
125896,N
127220,N
128440,N
129812,N
131220,N
132416,N
133592,N
134724,N
135788,N
137032,N
138284,N
139532,N
140928,N
142296,N
143632,N
144868,N
146156,N
147488,N
148844,N
150128,N
151568,N
152948,N
154288,N
155604,N
156992,N
158316,N
159832,N
161192,N
162504,N
163928,N
165232,N
166628,N
168056,N
169336,N
170720,N
172064,N
173368,N
174880,N
176236,N
177520,N
178896,N
180260,N
181576,N
182912,N
184224,N
185544,N
186828,N
188108,N
189384,N
190752,N
192052,N
193396,N
194748,N
196060,N
197436,N
198676,N
199924,N
201184,N
202260,N
203376,N
204504,N
205868,N
207216,N
208524,N
209796,N
211204,N
212588,N
213816,N
215176,N
216520,N
217744,N
219100,N
220500,N
221960,N
223300,N
224676,N
226084,N
227440,N
228708,N
230160,N
231584,N
232880,N
234328,N
235756,N
237040,N
238452,N
239880,N
241104,N
242220,N
243592,N
244828,N
245896,N
247376,N
248616,N
249944,N
251308,N
252640,N
253932,N
255308,N
256620,N
258036,N
259432,N
260704,N
262144,N
263464,N
264700,N
266128,N
267460,N
268736,N
270200,N
271528,N
272832,N
274268,N
275580,N
277024,N
278396,N
279680,N
281124,N
282468,N
283856,N
285264,N
286608,N
288048,N
289316,N
290676,N
292100,N
293500,N
294900,N
296148,N
297572,N
298932,N
300308,N
301700,N
302964,N
304384,N
305704,N
307144,N
308580,N
310008,N
311460,N
312864,N
314368,N
315772,N
317264,N
318596,N
320044,N
321360,N
322784,N
324192,N
325516,N
326808,N
328052,N
329208,N
330300,N
331440,N
332576,N
333772,N
334952,N
336164,N
337360,N
338492,N
339760,N
340996,N
342340,N
343632,N
344900,N
346212,N
347440,N
348812,N
350080,N
351296,N
352708,N
354028,N
355480,N
356828,N
358184,N
359652,N
360948,N
362372,N
363672,N
365056,N
366400,N
367800,N
369208,N
370540,N
371964,N
373260,N
374740,N
376036,N
377472,N
378804,N
380264,N
381668,N
383104,N
384496,N
385792,N
387212,N
388508,N
389940,N
391276,N
392608,N
393892,N
395244,N
396540,N
397848,N
399276,N
400568,N
401924,N
403148,N
404492,N
405804,N
407192,N
408584,N
409944,N
411300,N
412604,N
413984,N
415276,N
416636,N
417884,N
419224,N
420464,N
421752,N
423040,N
424324,N
425700,N
426984,N
428340,N
429556,N
430996,N
432248,N
433588,N
434888,N
436200,N
437604,N
438916,N
440316,N
441544,N
442936,N
444268,N
445624,N
447028,N
448332,N
449820,N
451112,N
452520,N
453788,N
455148,N
456508,N
457904,N
459280,N
460572,N
461972,N
463216,N
464432,N
465556,N
466852,N
468156,N
469412,N
470648,N
471736,N
472672,N
473576,N
474564,N
475664,N
477020,N
478256,N
479552,N
480828,N
482024,N
483352,N
484564,N
485840,N
487184,N
488496,N
489744,N
491144,N
492540,N
493784,N
495164,N
496564,N
497800,N
499176,N
500612,N
502056,N
503480,N
504852,N
506260,N
507604,N
509040,N
510288,N
511684,N
512952,N
514316,N
515707,N
516952,N
518384,N
519756,N
521140,N
522408,N
523652,N
524972,N
526156,N
527476,N
528728,N
530044,N
531396,N
532736,N
534160,N
535444,N
536864,N
538244,N
539624,N
540988,N
542272,N
543640,N
544920,N
546328,N
547648,N
548988,N
550428,N
551828,N
553232,N
554560,N
555996,N
557236,N
558624,N
559932,N
561340,N
562808,N
564192,N
565508,N
566668,N
567996,N
569376,N
570632,N
572008,N
573340,N
574656,N
576088,N
577360,N
578796,N
580096,N
581392,N
582840,N
584112,N
585468,N
586748,N
587996,N
589512,N
590940,N
592228,N
593640,N
595012,N
596356,N
597628,N
598972,N
600172,N
601344,N
602740,N
603872,N
604900,N
605932,N
606936,N
607888,N
609284,N
610536,N
611812,N
613096,N
614300,N
615584,N
616864,N
618084,N
619396,N
620696,N
621992,N
623320,N
624536,N
625900,N
627236,N
628580,N
629916,N
631088,N
632472,N
633800,N
635136,N
636508,N
637752,N
639148,N
640408,N
641760,N
642984,N
644116,N
645452,N
646752,N
648040,N
649240,N
650440,N
651780,N
653044,N
654344,N
655692,N
656944,N
658284,N
659660,N
661064,N
662460,N
663748,N
665092,N
666412,N
667772,N
669220,N
670552,N
671932,N
673260,N
674564,N
675864,N
677136,N
678432,N
679628,N
680968,N
682144,N
683400,N
684576,N
685832,N
687052,N
688200,N
689544,N
690908,N
692164,N
693496,N
694852,N
696092,N
697400,N
698784,N
700140,N
701388,N
702604,N
703944,N
705188,N
706444,N
707840,N
709076,N
710372,N
711756,N
713060,N
714464,N
715744,N
716960,N
718348,N
719640,N
720984,N
722284,N
723588,N
724980,N
726312,N
727680,N
729028,N
730472,N
731796,N
733160,N
734416,N
735868,N
737220,N
738484,N
739824,N
741032,N
742356,N
743632,N
744928,N
746260,N
747456,N
748756,N
749896,N
750948,N
752128,N
753492,N
754892,N
756164,N
757476,N
758704,N
759960,N
761196,N
762432,N
763752,N
764972,N
766268,N
767528,N
768736,N
769908,N
771124,N
772272,N
773516,N
774700,N
775944,N
777184,N
778392,N
779608,N
780900,N
782124,N
783432,N
784684,N
785960,N
787176,N
788552,N
789864,N
791240,N
792556,N
793864,N
795132,N
796332,N
797672,N
798884,N
800168,N
801452,N
802680,N
803976,N
805116,N
806380,N
807732,N
808972,N
810300,N
811532,N
812888,N
814264,N
815580,N
816924,N
818164,N
819460,N
820668,N
822132,N
823496,N
824760,N
826148,N
827452,N
828864,N
830200,N
831560,N
832948,N
834208,N
835572,N
836892,N
838212,N
839612,N
840872,N
842188,N
843472,N
844688,N
845912,N
847072,N
848272,N
849504,N
850732,N
852100,N
853376,N
854668,N
855948,N
857128,N
858312,N
859392,N
860552,N
861748,N
862984,N
864252,N
865388,N
866552,N
867912,N
869256,N
870616,N
871992,N
873292,N
874708,N
876008,N
877380,N
878760,N
879972,N
881296,N
882564,N
883788,N
885168,N
886464,N
887832,N
889152,N
890428,N
891772,N
893004,N
894356,N
895592,N
896884,N
898196,N
899436,N
900872,N
902140,N
903440,N
904788,N
906064,N
907456,N
908724,N
910060,N
911384,N
912624,N
913964,N
915220,N
916504,N
917908,N
919248,N
920648,N
921904,N
923224,N
924516,N
925812,N
927212,N
928456,N
929840,N
931164,N
932528,N
933860,N
935168,N
936540,N
937784,N
939180,N
940464,N
941768,N
943092,N
944364,N
945744,N
947004,N
948372,N
949792,N
951120,N
952504,N
953912,N
955172,N
956420,N
957780,N
959036,N
960400,N
961796,N
963128,N
964480,N
965732,N
967048,N
968368,N
969616,N
971120,N
972512,N
973732,N
975084,N
976468,N
977808,N
979160,N
980396,N
981788,N
983144,N
984476,N
985884,N
987104,N
988484,N
989800,N
991156,N
992512,N
993768,N
995096,N
996292,N
997556,N
998904,N
1000152,N
1001612,N
1002984,N
1004340,N
1005600,N
1006892,N
1008192,N
1009476,N
1010824,N
1012168,N
1013380,N
1014696,N
1015996,N
1017216,N
1018552,N
1019868,N
1021116,N
1022264,N
1023300,N
1024384,N
1025483,N
1026780,N
1027996,N
1029147,N
1030468,N
1031771,N
1033048,N
1034380,N
1035627,N
1036944,N
1038256,N
1039503,N
1040859,N
1042136,N
1043428,N
1044692,N
1045839,N
1047096,N
1048316,N
1049604,N
1050944,N
1052212,N
1053648,N
1054972,N
1056256,N
1057652,N
1058884,N
1060164,N
1061504,N
1062752,N
1064056,N
1065332,N
1066536,N
1067828,N
1069028,N
1070284,N
1071424,N
1072592,N
1073908,N
1075068,N
1076276,N
1077520,N
1078764,N
1080092,N
1081312,N
1082644,N
1083864,N
1085120,N
